job_id,job_category,job_budget,job_required_experience,job_required_skill_count,freelancer_id,freelancer_category,freelancer_hourly_rate,freelancer_years_experience,freelancer_rating,freelancer_completed_jobs,skill_overlap_count,skill_overlap_ratio,same_category,budget_fit,budget_difference,experience_gap,experience_fit,label
1,Web Development,1200,2,4,1,Frontend Development,20,2,4.7,15,4,1.0,1,1,400,0,1,1
1,Web Development,1200,2,4,2,Backend Development,28,4,4.8,22,0,0.0,1,1,80,2,1,1
1,Web Development,1200,2,4,3,Data Science,35,3,4.6,12,0,0.0,0,0,-200,1,1,0
1,Web Development,1200,2,4,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,480,0,1,1
1,Web Development,1200,2,4,5,Machine Learning,40,4,4.9,10,0,0.0,0,0,-400,2,1,0
1,Web Development,1200,2,4,6,DevOps,38,5,4.7,16,0,0.0,0,0,-320,3,1,0
1,Web Development,1200,2,4,7,QA Testing,16,2,4.3,20,0,0.0,0,1,560,0,1,0
1,Web Development,1200,2,4,8,Database Development,26,3,4.4,14,0,0.0,0,1,160,1,1,1
1,Web Development,1200,2,4,9,Mobile Development,30,3,4.6,11,1,0.25,0,1,0,1,1,1
1,Web Development,1200,2,4,10,Web Development,24,3,4.5,19,2,0.5,1,1,240,1,1,1
2,Backend Development,1500,3,4,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,700,-1,0,1
2,Backend Development,1500,3,4,2,Backend Development,28,4,4.8,22,4,1.0,1,1,380,1,1,1
2,Backend Development,1500,3,4,3,Data Science,35,3,4.6,12,1,0.25,0,1,100,0,1,1
2,Backend Development,1500,3,4,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,780,-1,0,1
2,Backend Development,1500,3,4,5,Machine Learning,40,4,4.9,10,0,0.0,0,1,-100,1,1,0
2,Backend Development,1500,3,4,6,DevOps,38,5,4.7,16,0,0.0,0,1,-20,2,1,0
2,Backend Development,1500,3,4,7,QA Testing,16,2,4.3,20,0,0.0,0,1,860,-1,0,1
2,Backend Development,1500,3,4,8,Database Development,26,3,4.4,14,1,0.25,0,1,460,0,1,0
2,Backend Development,1500,3,4,9,Mobile Development,30,3,4.6,11,0,0.0,0,1,300,0,1,0
2,Backend Development,1500,3,4,10,Web Development,24,3,4.5,19,2,0.5,0,1,540,0,1,1
3,Mobile Development,1800,2,3,1,Frontend Development,20,2,4.7,15,1,0.333,0,1,1000,0,1,0
3,Mobile Development,1800,2,3,2,Backend Development,28,4,4.8,22,0,0.0,0,1,680,2,1,0
3,Mobile Development,1800,2,3,3,Data Science,35,3,4.6,12,0,0.0,0,1,400,1,1,1
3,Mobile Development,1800,2,3,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,1080,0,1,1
3,Mobile Development,1800,2,3,5,Machine Learning,40,4,4.9,10,0,0.0,0,1,200,2,1,0
3,Mobile Development,1800,2,3,6,DevOps,38,5,4.7,16,0,0.0,0,1,280,3,1,0
3,Mobile Development,1800,2,3,7,QA Testing,16,2,4.3,20,0,0.0,0,1,1160,0,1,1
3,Mobile Development,1800,2,3,8,Database Development,26,3,4.4,14,0,0.0,0,1,760,1,1,1
3,Mobile Development,1800,2,3,9,Mobile Development,30,3,4.6,11,3,1.0,1,1,600,1,1,1
3,Mobile Development,1800,2,3,10,Web Development,24,3,4.5,19,1,0.333,0,1,840,1,1,0
4,Data Science,2000,3,4,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,1200,-1,0,0
4,Data Science,2000,3,4,2,Backend Development,28,4,4.8,22,1,0.25,0,1,880,1,1,0
4,Data Science,2000,3,4,3,Data Science,35,3,4.6,12,4,1.0,1,1,600,0,1,1
4,Data Science,2000,3,4,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,1280,-1,0,0
4,Data Science,2000,3,4,5,Machine Learning,40,4,4.9,10,3,0.75,0,1,400,1,1,1
4,Data Science,2000,3,4,6,DevOps,38,5,4.7,16,0,0.0,0,1,480,2,1,0
4,Data Science,2000,3,4,7,QA Testing,16,2,4.3,20,0,0.0,0,1,1360,-1,0,0
4,Data Science,2000,3,4,8,Database Development,26,3,4.4,14,1,0.25,0,1,960,0,1,0
4,Data Science,2000,3,4,9,Mobile Development,30,3,4.6,11,0,0.0,0,1,800,0,1,0
4,Data Science,2000,3,4,10,Web Development,24,3,4.5,19,1,0.25,0,1,1040,0,1,1
5,UI/UX Design,900,1,3,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,100,1,1,0
5,UI/UX Design,900,1,3,2,Backend Development,28,4,4.8,22,0,0.0,0,0,-220,3,1,1
5,UI/UX Design,900,1,3,3,Data Science,35,3,4.6,12,0,0.0,0,0,-500,2,1,0
5,UI/UX Design,900,1,3,4,UI/UX Design,18,2,4.5,18,3,1.0,1,1,180,1,1,1
5,UI/UX Design,900,1,3,5,Machine Learning,40,4,4.9,10,0,0.0,0,0,-700,3,1,1
5,UI/UX Design,900,1,3,6,DevOps,38,5,4.7,16,0,0.0,0,0,-620,4,1,0
5,UI/UX Design,900,1,3,7,QA Testing,16,2,4.3,20,0,0.0,0,1,260,1,1,1
5,UI/UX Design,900,1,3,8,Database Development,26,3,4.4,14,0,0.0,0,0,-140,2,1,0
5,UI/UX Design,900,1,3,9,Mobile Development,30,3,4.6,11,0,0.0,0,0,-300,2,1,0
5,UI/UX Design,900,1,3,10,Web Development,24,3,4.5,19,0,0.0,0,1,-60,2,1,1
6,DevOps,2200,4,4,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,1400,-2,0,0
6,DevOps,2200,4,4,2,Backend Development,28,4,4.8,22,0,0.0,0,1,1080,0,1,1
6,DevOps,2200,4,4,3,Data Science,35,3,4.6,12,0,0.0,0,1,800,-1,0,0
6,DevOps,2200,4,4,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,1480,-2,0,0
6,DevOps,2200,4,4,5,Machine Learning,40,4,4.9,10,0,0.0,0,1,600,0,1,0
6,DevOps,2200,4,4,6,DevOps,38,5,4.7,16,4,1.0,1,1,680,1,1,1
6,DevOps,2200,4,4,7,QA Testing,16,2,4.3,20,0,0.0,0,1,1560,-2,0,1
6,DevOps,2200,4,4,8,Database Development,26,3,4.4,14,0,0.0,0,1,1160,-1,0,0
6,DevOps,2200,4,4,9,Mobile Development,30,3,4.6,11,0,0.0,0,1,1000,-1,0,1
6,DevOps,2200,4,4,10,Web Development,24,3,4.5,19,0,0.0,0,1,1240,-1,0,0
7,QA Testing,800,1,3,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,0,1,1,0
7,QA Testing,800,1,3,2,Backend Development,28,4,4.8,22,0,0.0,0,0,-320,3,1,0
7,QA Testing,800,1,3,3,Data Science,35,3,4.6,12,0,0.0,0,0,-600,2,1,0
7,QA Testing,800,1,3,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,80,1,1,0
7,QA Testing,800,1,3,5,Machine Learning,40,4,4.9,10,0,0.0,0,0,-800,3,1,0
7,QA Testing,800,1,3,6,DevOps,38,5,4.7,16,0,0.0,0,0,-720,4,1,0
7,QA Testing,800,1,3,7,QA Testing,16,2,4.3,20,3,1.0,1,1,160,1,1,1
7,QA Testing,800,1,3,8,Database Development,26,3,4.4,14,0,0.0,0,0,-240,2,1,1
7,QA Testing,800,1,3,9,Mobile Development,30,3,4.6,11,0,0.0,0,0,-400,2,1,0
7,QA Testing,800,1,3,10,Web Development,24,3,4.5,19,0,0.0,0,0,-160,2,1,0
8,Machine Learning,2500,3,4,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,1700,-1,0,1
8,Machine Learning,2500,3,4,2,Backend Development,28,4,4.8,22,0,0.0,0,1,1380,1,1,0
8,Machine Learning,2500,3,4,3,Data Science,35,3,4.6,12,2,0.5,0,1,1100,0,1,0
8,Machine Learning,2500,3,4,4,UI/UX Design,18,2,4.5,18,0,0.0,0,1,1780,-1,0,0
8,Machine Learning,2500,3,4,5,Machine Learning,40,4,4.9,10,4,1.0,1,1,900,1,1,1
8,Machine Learning,2500,3,4,6,DevOps,38,5,4.7,16,0,0.0,0,1,980,2,1,0
8,Machine Learning,2500,3,4,7,QA Testing,16,2,4.3,20,0,0.0,0,1,1860,-1,0,0
8,Machine Learning,2500,3,4,8,Database Development,26,3,4.4,14,0,0.0,0,1,1460,0,1,0
8,Machine Learning,2500,3,4,9,Mobile Development,30,3,4.6,11,0,0.0,0,1,1300,0,1,1
8,Machine Learning,2500,3,4,10,Web Development,24,3,4.5,19,0,0.0,0,1,1540,0,1,1
9,Database Development,1400,2,3,1,Frontend Development,20,2,4.7,15,0,0.0,0,1,600,0,1,0
9,Database Development,1400,2,3,2,Backend Development,28,4,4.8,22,2,0.667,0,1,280,2,1,1
